"","TranscriptID","GO.terms","Protein_name","KEGG_ID","moduleColor","MM.p","MM.cor"
"569","XM_022430901.1",""," uncharacterized","crg:105328377;crg:105328374","green",0.000353905398702538,0.902289608901689
"570","XM_022477814.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L36-like","crg:105332946","green",0.000357894019665204,0.902006837995342
"571","XM_022451375.1","GO:0003674;GO:0006464"," 5'-AMP-activated protein kinase subunit gamma-2-like","crg:105348277","green",0.000362211248471179,0.901703364579193
"572","XM_022455005.1",""," uncharacterized","crg:105331496","green",0.000362334676317443,0.901694727507485
"573","XM_022463908.1",""," glyoxalase domain-containing protein 5-like","crg:105336292","green",0.000379543545397777,0.900511076738077
"574","XM_022447158.1","GO:0003674;GO:0005634;GO:0009058;GO:0034641"," transcription initiation factor TFIID subunit 11-like","crg:105331189","green",0.000407630671960967,0.898661086409076
"575","XM_022479304.1",""," probable ribosome biogenesis protein RLP24","crg:105320864","green",0.000410650139423547,0.898467829309636
"576","XM_022470234.1",""," FK506-binding protein 15-like","crg:105335721","green",0.000430715468368808,0.897209350509078
"577","XM_022483343.1",""," biogenesis of lysosome-related organelles complex 1 subunit 4-like","crg:105349124","green",0.000446486346627036,0.89625004426741
"578","XM_022477701.1","GO:0003723"," RNA-binding protein PNO1-like","crg:105340132","green",0.000453618534294713,0.895824349148768
"579","XM_022466508.1",""," 40S ribosomal protein S25-like","crg:105339104","green",0.000494960084840424,0.893448899983524
"580","XM_022469477.1","GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S5","crg:105347828","green",0.000495349265423652,0.893427240726471
"581","XM_022460522.1","GO:0043167"," proteoglycan Cow-like","crg:105325593","green",0.000499358576347925,0.893204830626198
"582","XM_022451668.1","GO:0006810"," AP-3 complex subunit sigma-2-like","crg:105335186","green",0.000543312666121917,0.890848285940006
"583","XM_022463025.1","GO:0003674;GO:0005634;GO:0005737;GO:0009058;GO:0034641"," DNA-binding protein inhibitor ID-2-A-like","crg:105344816","green",0.000568058213964019,0.889582446844085
"584","XM_022457419.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L23","crg:105326418","green",0.00059035805590062,0.88847581826466
"585","XM_022482517.1",""," glycine-rich cell wall structural protein-like","crg:105344724","green",0.000653079709550928,0.885518970795391
"586","XM_022453867.1","GO:0003674"," uncharacterized","crg:105330818","green",0.000749360274735906,0.881360161861154
"587","XM_022485487.1","GO:0043167"," RING finger protein 10-like","crg:105324392","green",0.000797910407808116,0.879409772645994
"588","XM_022432914.1","GO:0005975;GO:0016798"," beta-1,3-glucan-binding protein-like","crg:105332386","green",0.000798913927520277,0.879370383375478
"589","XM_022469198.1","GO:0005730;GO:0043167"," nucleolar GTP-binding protein 1-like","crg:105338454","green",0.000811086492282483,0.878895446350903
"590","XM_022476705.1","GO:0005622;GO:0042254"," 60S acidic ribosomal protein P0-like","crg:105319364","green",0.000833013669091009,0.878052870818333
"591","XM_022455622.1","GO:0006457;GO:0006464;GO:0006520;GO:0016301;GO:0032991;GO:0043167;GO:0051082"," serine/threonine-protein kinase greatwall-like","crg:105321199","green",0.000861853788895379,0.876968937826476
"592","XM_022486934.1","GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L14-like","crg:105332844","green",0.00087851631157079,0.876354695383149
"593","XM_022441530.1",""," cholinesterase-like","crg:105333659","green",0.000879859633493234,0.876305546634154
"594","XM_022437121.1",""," uncharacterized","crg:105341287","green",0.000892248060959527,0.87585484347432
"595","XM_022484022.1","GO:0005975;GO:0006091;GO:0009058;GO:0016829;GO:0043167;GO:0044281"," phosphoenolpyruvate carboxykinase, cytosolic [GTP]-like","crg:105326051","green",0.000913848537496463,0.875079787029623
"596","XM_022459281.1","GO:0003674"," serine/threonine-protein phosphatase 2A catalytic subunit beta isoform","crg:105341231","green",0.00092107738497531,0.874823388275287
"597","XM_022474615.1","GO:0005737;GO:0016192;GO:0032991"," AP-4 complex subunit sigma-1-like","crg:105340100","green",0.000957353978499989,0.873558384422608
"598","XM_022437870.1",""," perlucin-like","crg:105326829","green",0.00111184019592264,0.868532121530733
"599","XM_022460553.1","GO:0003700;GO:0005622;GO:0009058;GO:0032991;GO:0034641"," activating transcription factor of chaperone-like","crg:105336468","green",0.00116458693023152,0.866932816918776
"600","XM_022448720.1","GO:0030234"," kunitz-type serine protease inhibitor A-like","crg:105344913","green",0.00123793283385847,0.864794235775311
"601","XM_022457754.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S15Aa","crg:105331157","green",0.00133424090609201,0.862121696781122
"602","XM_022478379.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L36-like","crg:105332946","green",0.00135904435633715,0.861456205407917
"603","XM_022460596.1","GO:0003674"," serine/threonine-protein phosphatase 2A catalytic subunit beta isoform","crg:105341231","green",0.00136252061667273,0.861363641492892
"604","XM_022474564.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L17-like","crg:105339567","green",0.00141597736660794,0.8599613477449
"605","XM_022446951.1",""," tenascin-N-like","crg:109620319","green",0.00144998339703772,0.859089172690504
"606","XM_022475863.1",""," uncharacterized","crg:105320138","green",0.001454322477075,0.858978956607553
"607","XM_022487893.1","GO:0003674"," sperm-associated antigen 7 homolog","crg:105346117","green",0.00146985051960068,0.858586475678644
"608","XM_022462700.1","GO:0030234;GO:0043167"," regucalcin-like","crg:105330682","green",0.00155469435087745,0.856493516995909
"609","XM_022490290.1","GO:0003723;GO:0005634;GO:0006397;GO:0032991;GO:0043167"," U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2-like","crg:105336090","green",0.00157685517781632,0.855960536021319
"610","XM_022478515.1",""," uncharacterized","crg:105345215","green",0.00161320889823918,0.855097847282778
"611","XM_022467108.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," uncharacterized","crg:105321548","green",0.00161649310102681,0.855020608250004
"612","XM_022441013.1","GO:0005739;GO:0006605;GO:0007005;GO:0008233;GO:0032991;GO:0043167;GO:0051604"," mitochondrial-processing peptidase subunit beta-like","crg:105348562","green",0.00166584139115764,0.853873478749607
"613","XM_022471586.1","GO:0043167"," insoluble matrix shell protein 5-like","crg:105345652","green",0.00167570721932658,0.853647103668243
"614","XM_022485666.1",""," uncharacterized","crg:105323276","green",0.00184127747893288,0.84998454505098
"615","XM_022462224.1","GO:0016746"," non-specific lipid-transfer protein-like","crg:105339056","green",0.00190892913713089,0.848556548274205
"616","XM_022489166.1",""," ctenidin-1-like","crg:105341175","green",0.00191711872378215,0.848386178914822
"617","XM_022433551.1",""," perlucin-like protein","crg:105320260","green",0.00211116477177131,0.844495108933735
"618","XM_022486689.1","GO:0005622;GO:0006464;GO:0032991;GO:0043167"," CCR4-NOT transcription complex subunit 4-like","crg:105322221","green",0.00216076366095924,0.843542296778773
"619","XM_022473887.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," ubiquitin-like protein FUBI","crg:105347132","green",0.00217142660052867,0.843339525598232
"620","XM_022459677.1",""," macrophage mannose receptor 1-like","crg:105334960","green",0.0021784039606543,0.843207229984324
"621","XM_022464147.1",""," uncharacterized","crg:105329064","green",0.00225700239337315,0.841737673847005
"622","XM_022469464.1","GO:0003674"," fibronectin type III domain-containing protein 2-like","crg:105318603","green",0.00231922068670849,0.840600362872913
"623","XM_022457443.1","GO:0043167"," calcium and integrin-binding protein 1-like","crg:105331416","green",0.00233531548243659,0.8403097516643
"624","XM_022487603.1","GO:0005576;GO:0007155;GO:0043167"," mammalian ependymin-related protein 1-like","crg:105341555","green",0.00233826056940378,0.840256731071867
"625","XM_022434368.1","GO:0006091;GO:0016491"," NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial-like","crg:105328413","green",0.00238904931848196,0.839349867461678
"626","XM_022478636.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," ubiquitin-40S ribosomal protein S27a","crg:105342397","green",0.0024491760015915,0.838294073588531
"627","XM_022436876.1",""," synapse-associated protein 1-like","crg:105334212","green",0.00251558288034533,0.837149506969338
"628","XM_022435107.1",""," perlucin-like","crg:105334638","green",0.00259603361661864,0.835791703283354
"629","XM_022464806.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L21-like","crg:105321543;crg:105323549","green",0.00268829263336098,0.834271433043892
"630","XM_022460201.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L10-like","crg:105336480","green",0.0029066192820982,0.830817896083766
"631","XM_022436199.1",""," 60S ribosomal protein L24-like","crg:105342603","green",0.00292591067019701,0.830521834325804
"632","XM_022464563.1","GO:0005815;GO:0007010;GO:0008092;GO:0032991"," centrosome-associated protein 350-like","crg:105322268","green",0.00292593334539701,0.830521487160873
"633","XM_022485721.1",""," intraflagellar transport protein 22 homolog","crg:105344108","green",0.0029562343310777,0.830059288390087
"634","XM_022447288.1",""," neurogenic locus notch homolog protein 1-like","crg:109620319","green",0.00297520558645302,0.829771641146451
"635","XM_022446949.1",""," uncharacterized","crg:109620319","green",0.00315299296189968,0.827138063026918
"636","XM_022445706.1","GO:0003674"," leucine-rich melanocyte differentiation-associated protein-like","crg:105340172","green",0.00319822378425966,0.826485161468004
"637","XM_022467573.1","GO:0030234"," kunitz-type protease inhibitor 1-like","crg:105336246","green",0.00328140460427235,0.825301576778193
"638","XM_022464528.1",""," SOSS complex subunit B1-like","crg:105343911","green",0.00337091133953023,0.82405181579074
"639","XM_022486487.1","GO:0003677;GO:0003700;GO:0005622;GO:0009058;GO:0032991;GO:0034641"," nuclear factor of activated T-cells 5-like","crg:105330746","green",0.00337587339696877,0.823983232483496
"640","XM_022479993.1",""," putative uncharacterized protein DDB_G0286901","crg:105335590","green",0.00344034463916857,0.823098651518868
"641","XM_022450958.1","GO:0008233"," cathepsin L1-like","crg:105331752;crg:105330701","green",0.00348054504888013,0.822553088152878
"642","XM_022483791.1",""," integral membrane protein 2A-like","crg:105319079","green",0.00371264688020591,0.819488615931389
"643","XM_022446090.1",""," transmembrane protein 237-like","crg:105337127","green",0.00377349127553468,0.818708112087092
"644","XM_022465240.1",""," Sjoegren syndrome nuclear autoantigen 1-like","crg:105331344","green",0.00381412418233948,0.818191890261997
"645","XM_022461642.1","GO:0003674"," Krueppel-like factor 3","crg:105326700","green",0.00394712062215923,0.816529324300223
"646","XM_022455250.1","GO:0006520;GO:0009056;GO:0030234"," ornithine decarboxylase antizyme 3-like","crg:105320023","green",0.00394965792020364,0.816497998929942
"647","XM_022457684.1","GO:0006950"," big defensin-like","crg:105319693","green",0.00405052359160452,0.815264227741107
"648","XM_022475231.1","GO:0003674;GO:0006397"," RNA-binding protein 25-like","crg:105318129","green",0.00412470661038577,0.814370806926259
"649","XM_022457032.1","GO:0003674"," putative IQ motif and ankyrin repeat domain-containing protein","crg:105347466","green",0.00412748145106111,0.814337612249789
"650","XM_022461359.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S14","crg:105339837","green",0.00416652333505524,0.81387224972688
"651","XM_022457392.1","GO:0003677"," interferon regulatory factor 1-like","crg:105343806","green",0.00429197224618788,0.812397766543691
"652","XM_022464403.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," ubiquitin-60S ribosomal protein L40","crg:105335841","green",0.00429969946613865,0.812307957290287
"653","XM_022451379.1","GO:0005829;GO:0032991"," biogenesis of lysosome-related organelles complex 1 subunit 1-like","crg:105332711","green",0.00447444884967351,0.810307087931246
"654","XM_022447991.1",""," uncharacterized","crg:105340507","green",0.00447661593920668,0.810282628658956
"655","XM_022435408.1","GO:0006520;GO:0006790;GO:0008168;GO:0009058;GO:0043167"," betaine--homocysteine S-methyltransferase 1-like","crg:105318319","green",0.00465846289076087,0.808259659347783
"656","XM_022463276.1","GO:0006464;GO:0016301;GO:0043167"," 5'-AMP-activated protein kinase catalytic subunit alpha-2-like","crg:105341321","green",0.00489877159512238,0.80567113096262
"657","XM_022452826.1","GO:0003924;GO:0043167"," ras-related protein Rab-18A-like","crg:105328871","green",0.00497063359476969,0.804914712967291
"658","XM_022481136.1",""," uncharacterized","crg:105343299","green",0.00500860507588413,0.804518174598019
"659","XM_022472069.1",""," uncharacterized","crg:105348617","green",0.00507602015375027,0.80381941011099
"660","XM_022434917.1","GO:0007034"," charged multivesicular body protein 3-like","crg:105339937","green",0.00518535232940424,0.80270011892281
"661","XM_022450477.1","GO:0003677;GO:0003723;GO:0009058;GO:0034641"," heterogeneous nuclear ribonucleoprotein K-like","crg:105346945","green",0.00529517728497081,0.801592607130544
"662","XM_022478716.1","GO:0034641;GO:0042254"," ribosomal RNA processing protein 36 homolog","crg:105320854","green",0.00530994875335854,0.801444900235347
"663","XM_022478752.1","GO:0003674"," leucine-rich repeat-containing protein 57-like","crg:105321381","green",0.00537914723667116,0.800756826734073
"664","XM_022473476.1",""," angiopoietin-related protein 7-like","crg:105318276","green",0.0054662033230345,0.799900092789264
"665","XM_022457734.1","GO:0005739;GO:0006091;GO:0016491;GO:0022857;GO:0032991"," cytochrome c oxidase subunit 5B, mitochondrial-like","crg:105318401;crg:105341320","green",0.00558702231917175,0.798727060150871
"666","XM_022461633.1",""," uncharacterized","crg:105336044","green",0.00572646580814693,0.797395457644188
"667","XM_022474678.1","GO:0016746"," N-alpha-acetyltransferase 40-like","crg:105346166","green",0.00575403043623909,0.797134972693984
"668","XM_022454123.1",""," uncharacterized","crg:105335213","green",0.00576529363817649,0.797028791472975
"669","XM_022476929.1",""," uncharacterized","crg:105331717","green",0.00585266953194461,0.796210052090043
"670","XM_022463275.1","GO:0005777;GO:0016887;GO:0022857;GO:0043167"," ATP-binding cassette sub-family D member 3-like","crg:105341323","green",0.00590243583677176,0.795747609714902
"671","XM_022482384.1",""," translationally-controlled tumor protein homolog","crg:105319638","green",0.0063180974659265,0.791989553223584
"672","XM_022439790.1","GO:0030234"," metalloproteinase inhibitor 3-like","crg:105327547","green",0.00659956636705462,0.789543520986386
"673","XM_022476769.1","GO:0005737;GO:0008150"," protein phosphatase 1 regulatory subunit 14C-like","crg:105322152","green",0.00673853395343913,0.788363117164291
"674","XM_022458980.1","GO:0003677;GO:0005694;GO:0032991"," histone H3.3","crg:105323414;crg:105338425;crg:105331650","green",0.00679158513568498,0.787917054683891
"675","XM_022461339.1",""," methyltransferase-like protein 14 homolog","crg:105326041","green",0.00690511090132364,0.786970758649939
"676","XM_022434060.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L32-like","crg:105337115","green",0.00692031793229149,0.786844840814574
"677","XM_022477733.1","GO:0005575;GO:0016491;GO:0034641;GO:0043167"," peptidylglycine alpha-hydroxylating monooxygenase-like","crg:105325835","green",0.00700277302034317,0.78616549057296
"678","XM_022471167.1","GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S3","crg:105335873","green",0.00716838784383761,0.784817947568518
"679","XM_022462647.1","GO:0016491;GO:0043167"," glutaryl-CoA dehydrogenase, mitochondrial-like","crg:105321774","green",0.0072097637328151,0.784484741836979
"680","XM_022459895.1","GO:0005198;GO:0005856;GO:0005886;GO:0007010;GO:0008092;GO:0040007"," band 4.1-like protein 2","crg:105334259","green",0.007362786259596,0.783264084777077
"681","XM_022484350.1",""," protein FAM133B-like","crg:105338889","green",0.00745353798322772,0.782548635004501
"682","XM_022447406.1",""," protein LSM12 homolog","crg:105345129","green",0.00751137424109984,0.782095892690326
"683","XM_022485704.1","GO:0003723;GO:0005634;GO:0006397"," RNA-binding protein 39-like","crg:105331590","green",0.00751816267505269,0.782042914994105
"684","XM_022465184.1","GO:0003674;GO:0007165"," NF-kappa-B inhibitor-like protein 1","crg:105320935","green",0.00764996625676678,0.781020957347266
"685","XM_022471194.1","GO:0005575;GO:0030234;GO:0044281"," microsomal glutathione S-transferase 2-like","crg:105330981","green",0.00771557608186239,0.780516886725701
"686","XM_022461726.1",""," growth hormone-inducible transmembrane protein-like","crg:105326642","green",0.00778044269843132,0.780021501611557
"687","XM_022480016.1",""," proton-coupled folate transporter-like","crg:105320910","green",0.0079278238096942,0.778906728521191
"688","XM_022457762.1","GO:0003723;GO:0005634;GO:0005737;GO:0006397"," survival of motor neuron-related-splicing factor 30-like","crg:105347375","green",0.00803923191511977,0.778073748327064
"689","XM_022460050.1","GO:0008289;GO:0043167"," annexin A4-like","crg:105348537","green",0.00804545118267604,0.778027489246289
"690","XM_022441035.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L18a-like","crg:105326463","green",0.00804757092479106,0.778011728328986
"691","XM_022477034.1",""," phospholipid scramblase 1-like","crg:105333920","green",0.00809537752546222,0.777657049545136
"692","XM_022460495.1","GO:0005739;GO:0022857"," voltage-dependent anion-selective channel protein 2-like","crg:105339176;crg:105332374","green",0.00822319916395329,0.776715958627828
"693","XM_022474258.1","GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S15-like","crg:105332215","green",0.00824015341103237,0.776591911422992
"694","XM_022483970.1",""," leydig cell tumor 10 kDa protein homolog","crg:105337296","green",0.00861602073022216,0.773887046585959
"695","XM_022453418.1",""," uncharacterized","crg:105333102","green",0.00862523455991928,0.773821797581666
"696","XM_022487615.1",""," neuroguidin-like","crg:105322871","green",0.0086458858112797,0.773675731598369
"697","XM_022473643.1","GO:0008233;GO:0043167"," blastula protease 10-like","crg:105320388","green",0.00878091446340798,0.772726700504453
"698","XM_022486542.1","GO:0006399;GO:0006412;GO:0006520;GO:0016874;GO:0043167"," alanyl-tRNA editing protein Aarsd1-like","crg:105340497","green",0.0088144605129566,0.772492527056446
"699","XM_022490115.1",""," uncharacterized","crg:105347847","green",0.00890904163220578,0.77183565995375
"700","XM_022480126.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L15-like","crg:105319021","green",0.00903184608480173,0.770990088281254
"701","XM_022471215.1","GO:0003674"," ovomucoid-like","crg:105329872","green",0.00905734007124628,0.770815567852843
"702","XM_022462019.1","GO:0005198;GO:0007165;GO:0019899"," ragulator complex protein LAMTOR2-like","crg:105344615;crg:105347446","green",0.00911350195928121,0.770432328387078
"703","XM_022485085.1","GO:0003674"," cysteine and histidine-rich protein 1-like","crg:105336022","green",0.00943814208647262,0.768249091865824
"704","XM_022434108.1",""," uncharacterized","crg:105345829","green",0.00944075931241303,0.768231707613053
"705","XM_022453675.1",""," uncharacterized","crg:105317444","green",0.00944679174929694,0.768191651637535
"706","XM_022477915.1","GO:0008219"," anti-apoptotic protein NR13-like","crg:105335025","green",0.00972076265065482,0.766391162219209
"707","XM_022440589.1",""," uncharacterized","crg:105341086","green",0.00977464414979159,0.766041284136579
"708","XM_022436190.1",""," synapse-associated protein 1-like","crg:105334212","green",0.0108140337898328,0.759543129550752
"709","XM_022486812.1","GO:0005622;GO:0006091;GO:0016491;GO:0022857;GO:0032991"," cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like","crg:105347217","green",0.0108220135580771,0.759494977113581
"710","XM_022443470.1","GO:0006464;GO:0006520;GO:0008219;GO:0016301;GO:0043167"," serine/threonine-protein kinase pim-3-like","crg:105326887","green",0.0110113140195031,0.758359926853374
"711","XR_002639764.1","GO:0005737;GO:0005783;GO:0016887;GO:0022857;GO:0043167"," calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type-like","crg:105327139","green",0.01104049556848,0.75818617634777
"712","XM_022461853.1","GO:0030234;GO:0043167"," regucalcin-like","crg:105336648","green",0.0113400539906736,0.756420953911843
"713","XM_022460698.1","GO:0016491"," 17-beta-hydroxysteroid dehydrogenase 14-like","crg:105325890","green",0.0113525497347927,0.756348034947399
"714","XM_022463002.1","GO:0005575"," transmembrane protein 14C-like","crg:105324107","green",0.0113930090184058,0.756112320643524
"715","XM_022461614.1","GO:0003674"," p21-activated protein kinase-interacting protein 1-like","crg:105337936","green",0.0115496768209899,0.755205085460207
"716","XM_022478000.1","GO:0005575;GO:0016491;GO:0034641;GO:0043167"," peptidylglycine alpha-hydroxylating monooxygenase-like","crg:105325835","green",0.011591259136685,0.754965741857802
"717","XM_022446013.1","GO:0003674;GO:0005737;GO:0007010;GO:0032991"," protein BRICK1-like","crg:105327829","green",0.011613832356134,0.7548360649937
"718","XM_022467545.1","GO:0008233"," snake venom metalloproteinase ACLH-like","crg:105327182","green",0.0118501405188244,0.753489041743765
"719","XM_022483901.1","GO:0003677;GO:0005634;GO:0006259;GO:0006950;GO:0009058"," replication protein A 70 kDa DNA-binding subunit-like","crg:105335600","green",0.0118568530333387,0.753451054914307
"720","XM_022460303.1","GO:0022857;GO:0032991"," zinc transporter 7-like","crg:105347282","green",0.0122826871522267,0.751071432777907
"721","XM_022442711.1","GO:0003674"," RNA-binding protein 1-like","crg:105325287","green",0.0127929380249294,0.748295047607782
"722","XM_022472493.1","GO:0003735;GO:0005840;GO:0006412;GO:0019843;GO:0042254"," 60S ribosomal protein L9-like","crg:105348361","green",0.0130569719171557,0.746888742090156
"723","XM_022482226.1",""," uncharacterized","crg:105326232","green",0.013110456549044,0.746606300044577
"724","XM_022444311.1","GO:0005737;GO:0016491"," prostaglandin reductase 1-like","crg:105333322;crg:105332331","green",0.0133403363453361,0.745401446049413
"725","XM_022461878.1",""," methyltransferase-like 26","crg:105333919","green",0.0133758513527444,0.745216601717244
"726","XM_022478035.1",""," uncharacterized","crg:105320095","green",0.0134109066834042,0.7450344861748
"727","XM_022488079.1","GO:0003677;GO:0006259;GO:0006950;GO:0016887;GO:0043167"," uncharacterized","crg:105335926","green",0.0135603270230663,0.744261946523498
"728","XM_022435862.1","GO:0003674;GO:0005622;GO:0009058;GO:0032991;GO:0034641"," C-Myc-binding protein-like","crg:105341025","green",0.013794247347322,0.74306438539402
"729","XM_022489391.1","GO:0005654;GO:0009058;GO:0032991;GO:0034641"," negative elongation factor A-like","crg:105341883","green",0.0139805717598039,0.742120607658738
"730","XM_022453278.1","GO:0022857;GO:0032991"," V-type proton ATPase subunit C 1-like","crg:105319124","green",0.0140168680190269,0.741937782562343
"731","XM_022450691.1","GO:0006464;GO:0016301;GO:0043167"," mitogen-activated protein kinase 11-like","crg:105320654","green",0.0141055545844352,0.741492453269281
"732","XM_022478105.1","GO:0003674;GO:0005654;GO:0032991"," protein max-like","crg:105331135","green",0.014159708326005,0.741221487409684
"733","XM_022462540.1","GO:0005737;GO:0005856;GO:0032991"," trichohyalin-like","crg:105348708","green",0.0141822314321758,0.741109002964657
"734","XM_022488715.1","GO:0006457;GO:0032991;GO:0051082"," prefoldin subunit 4-like","crg:105331359","green",0.0157684142174178,0.733482413938293
"735","XM_022474619.1","GO:0003677;GO:0003700;GO:0005622;GO:0009058;GO:0032991;GO:0034641"," transcription factor kayak-like","crg:105341777","green",0.016005342237583,0.732389781407441
"736","XM_022471150.1",""," very-long-chain 3-oxoacyl-CoA reductase-like","crg:105341564","green",0.0162208665222114,0.731405591401964
"737","XM_022470420.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L28-like","crg:105332917","green",0.0169923718449629,0.727955337158581
"738","XM_022465930.1","GO:0005576"," serum amyloid A-5 protein-like","crg:105332146","green",0.017442599008278,0.725991933223487
"739","XM_022450308.1","GO:0016491"," cytochrome c-like","crg:105344150","green",0.0183651209316851,0.722076202968807
"740","XM_022436838.1","GO:0003677;GO:0003700;GO:0005622;GO:0006950;GO:0007165;GO:0009058;GO:0032991;GO:0034641"," cyclic AMP-responsive element-binding protein 3-like protein 1","crg:105326506","green",0.0186488871940694,0.720899229152974
"741","XM_022467115.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," uncharacterized","crg:105321548","green",0.0194072915558147,0.71781332749317
"742","XM_022451881.1","GO:0005622;GO:0008233;GO:0009056;GO:0032991;GO:0043167"," carboxypeptidase A1-like","crg:105320968","green",0.0195339244598404,0.717306239738074
"743","XM_022459046.1","GO:0000278;GO:0006259;GO:0009058"," protein RTF2 homolog","crg:105321633","green",0.019562062732942,0.717193872121549
"744","XM_022442233.1",""," hemagglutinin/amebocyte aggregation factor-like","crg:105345005","green",0.0197828178112942,0.716316163356804
"745","XM_022453757.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L37a","crg:105319573","green",0.0199057722335591,0.715830238253263
"746","XM_022459168.1","GO:0006464;GO:0006520;GO:0016791"," dual specificity protein phosphatase CDC14A-like","crg:105340615","green",0.0201351175926773,0.714929365829621
"747","XM_022437841.1",""," perlucin-like protein","crg:105320263","green",0.0205591681644045,0.713282194752534
"748","XM_022461263.1","GO:0003674"," RNA-binding protein 24-A-like","crg:105324775","green",0.020641635909044,0.712964591718033
"749","XM_022455750.1",""," protein FAM98B-like","crg:105328153","green",0.0207054945566588,0.71271925832802
"750","XM_022484535.1","GO:0003674;GO:0006629;GO:0009056"," inactive pancreatic lipase-related protein 1-like","crg:109619763","green",0.0209977479231551,0.711603092932016
"751","XM_022432795.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S13-like","crg:105338085","green",0.0218010784834842,0.708589277047917
"752","XM_022465789.1","GO:0003735;GO:0005840;GO:0006412;GO:0019843;GO:0042254"," 60S ribosomal protein L9-like","crg:105348361","green",0.0221726214800961,0.707221241919451
"753","XM_022447951.1","GO:0043167"," calmodulin, striated muscle-like","crg:105342292","green",0.0222345735189896,0.706994672219734
"754","XM_022454238.1","GO:0003674"," histidine triad nucleotide-binding protein 1-like","crg:105329696","green",0.0223100254335383,0.706719317745403
"755","XM_022488845.1","GO:0016491"," cytochrome c1-2, heme protein, mitochondrial-like","crg:105332292","green",0.022327874636115,0.706654272669654
"756","XM_022479162.1","GO:0005737;GO:0005856;GO:0008150;GO:0032991"," troponin T-like","crg:105348570","green",0.0224056480756539,0.706371272336757
"757","XM_022478750.1",""," uncharacterized","crg:105334609","green",0.0224105414942105,0.706353488911425
"758","XM_022484734.1","GO:0003674"," UDP-glucuronic acid decarboxylase 1-like","crg:105345794","green",0.0227877162499865,0.704990750479924
"759","XM_022459319.1",""," uncharacterized","crg:105324569","green",0.023568151541983,0.702219567177831
"760","XM_022442111.1",""," uncharacterized","crg:105319414","green",0.0236044067150812,0.70209237594953
"761","XM_022489695.1",""," heavy metal-associated isoprenylated plant protein 33-like","crg:105335606","green",0.0237831108174079,0.701467397176088
"762","XM_022480803.1","GO:0003674;GO:0005576;GO:0008150"," uncharacterized","crg:105317661","green",0.0242087393079828,0.699991744690986
"763","XM_022464331.1","GO:0005575;GO:0055085"," monocarboxylate transporter 14-like","crg:105346005","green",0.0242847992883579,0.699729926393501
"764","XM_022472613.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L35-like","crg:105338614","green",0.0253396812465344,0.696155460885108
"765","XM_022478652.1","GO:0016491;GO:0042592"," glutaredoxin-C6-like","crg:105323394;crg:105341328","green",0.0261330113264663,0.693533963210818
"766","XM_022437445.1","GO:0003924;GO:0007165;GO:0043167"," rho GTPase-activating protein 190-like","crg:105325175;crg:105325176","green",0.026344120735131,0.692845575922115
"767","XM_022466461.1","GO:0005575;GO:0022857"," sodium bicarbonate cotransporter 3-like","crg:105338672;crg:105336754","green",0.0273747804452536,0.689537952928057
"768","XM_022483208.1","GO:0003674"," sulfotransferase family cytosolic 1B member 1-like","crg:105343440","green",0.0286119424460392,0.685678227228323
"769","XM_022482407.1","GO:0005739;GO:0006091;GO:0032991"," NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9-like","crg:105329407","green",0.0289308010922733,0.684701984484266
